City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
153,Severo-Kurilsk,RU,50.6789,156.125,21.81,66,96,16.35,overcast clouds
154,Atar,MR,20.5169,-13.0499,79.66,12,100,10.67,overcast clouds
155,Muros,ES,42.7762,-9.0603,55.65,62,0,4.12,clear sky
156,Belyy Yar,RU,53.6039,91.3903,10.29,78,75,0.0,mist
157,Narsaq,GL,60.9167,-46.05,8.82,94,100,11.77,light snow
158,Lensk,RU,60.7253,114.9278,-27.09,100,100,2.89,overcast clouds
159,Suruc,TR,36.9761,38.425,33.6,62,54,7.23,broken clouds
160,Guerrero Negro,MX,27.9769,-114.0611,61.41,32,0,1.39,clear sky
161,Chapais,CA,49.7834,-74.8492,2.98,85,85,9.48,overcast clouds
162,Manokwari,ID,-0.8667,134.0833,76.53,86,100,6.4,light rain
163,Kiunga,PG,-6.1219,141.2906,73.35,99,100,5.01,overcast clouds
164,Moose Factory,CA,51.2585,-80.6094,6.8,78,75,4.61,broken clouds
165,Broken Hill,AU,-31.95,141.4333,75.0,22,2,4.25,clear sky
166,Namibe,AO,-15.1961,12.1522,74.41,68,100,13.31,overcast clouds
167,Oshakati,NA,-17.7833,15.6833,81.45,32,99,5.7,overcast clouds
168,Biak,ID,-0.9131,122.8766,75.15,83,100,5.21,overcast clouds
169,Hermosillo,MX,29.0667,-110.9667,64.9,23,0,4.0,clear sky
170,Nouadhibou,MR,20.931,-17.0347,78.78,19,20,12.66,few clouds
171,Comodoro Rivadavia,AR,-45.8667,-67.5,85.86,23,0,16.11,clear sky
172,Komsomolskiy,UZ,40.4272,71.7189,41.72,75,100,9.22,mist
173,Auki,SB,-8.7676,160.7034,76.91,88,100,4.56,overcast clouds
174,Mumford,GH,5.2618,-0.759,82.08,74,97,10.94,overcast clouds
175,Kieta,PG,-6.2167,155.6333,79.7,85,100,5.84,overcast clouds
176,Dalianwan,CN,39.0286,121.695,31.95,50,0,2.24,clear sky
177,Kurmanayevka,RU,52.5093,52.0675,-2.09,100,15,4.29,few clouds
178,Karratha,AU,-20.7377,116.8463,86.36,64,40,5.5,scattered clouds
179,Jamestown,US,42.097,-79.2353,38.79,64,40,9.22,scattered clouds
180,Shubarkuduk,KZ,49.1447,56.4872,-0.24,95,6,6.98,clear sky
181,Kyrylivka,UA,46.3759,35.3675,29.43,68,14,24.23,few clouds
182,Santa Cruz,BO,-17.8,-63.1667,87.26,66,40,14.97,scattered clouds
